Exp_ID,location_name,latitude,longitude,ecozone,province,soil_great_group,soil_sub_group,soil_texture,sand_px,clay_px,silt_px,initial_soc_tha,initial_soc_year,plot_id,block,treatment_number,treatment_name,replication_number,duration,year_name,start_year,end_year,tillage,STIR_rating,grain_yield_kgha,hay_yield_kgha,hay_residue_kgha,crop,ICASA_code,AAFC_code,crop_rotation,rotation_seq,crop_seq,straw_biomass_kgha,straw_returned,silage_yld_kgha,root_biomass_kgha,biomass_returned_kgha,soc_tha,bd_gcm3,soil_depth_min_cm,soil_depth_max_cm,N_fertilizer_kgha,N_fertilizer_kgha_2,N_fertilizer_kgha_3,P_fertilizer_kgha,P_fertilizer_kgha_2,P_fertilizer_kgha_3,K_fertilizer_kgha,K_fertilizer_kgha_2,S_fertilizer_kgha,S_fertilizer_kgha_2,manure_kgha,residue_estimation_methodology,soil_total_carbon_conc_gkg,soil_total_carbon_px,soil_total_carbon2_px,soil_organic_matter_kgha,organic_matter_px,crop_residue_avg_kgha,crop_residue_kgha,above_ground_residue_kgha,roots_residue_kgha,root_exudates_kgha,reference,flag,theme,TrtID,simple_trt_name,Location,POLYID,ECO_ID,...74,SL,PROVINCE,PCPTREGION,soc_tha_30cm
E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,NA,14,F0S,1,27,1993,1983,2009,CT,NA,1916.4,NA,NA,BAR,BAR,BARLEY,CONT_BAR,NA,NA,2897.375,yes,NA,1059.0305,NA,NA,NA,0,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,est_equation,NA,NA,NA,NA,NA,NA,2897.375,NA,1059.0305,NA,Malhi et al. 2011b,NA,cpr,E1_F0S_CT,NA,1,727006,727,NA,727006,AB,AB_3,NA
E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,NA,14,F0S,1,27,1994,1983,2009,CT,NA,1873.3,NA,NA,BAR,BAR,BARLEY,CONT_BAR,NA,NA,1857.6,yes,NA,820.798,NA,NA,NA,0,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,est_equation,NA,NA,NA,NA,NA,NA,1857.6,NA,820.798,NA,Malhi et al. 2011b,NA,cpr,E1_F0S_CT,NA,1,727006,727,NA,727006,AB,AB_3,NA
E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,NA,14,F0S,1,27,1995,1983,2009,CT,NA,2456.857188,NA,NA,BAR,BAR,BARLEY,CONT_BAR,NA,NA,2436.521739,yes,NA,1076.543364,NA,125.8666667,NA,0,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,est_equation,NA,NA,NA,NA,NA,NA,2436.521739,NA,1076.543364,NA,Malhi et al. 2011b,NA,cpr,E1_F0S_CT,NA,1,727006,727,NA,727006,AB,AB_3,125.8666667
E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,NA,14,F0S,1,27,1996,1983,2009,CT,NA,1987.181289,NA,NA,BAR,BAR,BARLEY,CONT_BAR,NA,NA,2098.804348,yes,NA,898.9168401,NA,NA,NA,0,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,est_equation,NA,NA,NA,NA,NA,NA,2098.804348,NA,898.9168401,NA,Malhi et al. 2011b,NA,cpr,E1_F0S_CT,NA,1,727006,727,NA,727006,AB,AB_3,NA
E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,NA,14,F0S,1,27,1997,1983,2009,CT,NA,1775.895695,NA,NA,WHT,WHT,WHTDUR,WHT,NA,NA,1970.8346,yes,NA,899.2152708,NA,NA,NA,0,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,est_equation,NA,NA,NA,NA,NA,NA,1970.8346,NA,899.2152708,NA,Malhi et al. 2011b,NA,cpr,E1_F0S_CT,NA,1,727006,727,NA,727006,AB,AB_3,NA
E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,NA,14,F0S,1,27,1998,1983,2009,CT,NA,1875.707666,NA,NA,WHT,WHT,WHTDUR,WHT,NA,NA,2178.698772,yes,NA,973.0575451,NA,NA,NA,0,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,est_equation,NA,NA,NA,NA,NA,NA,2178.698772,NA,973.0575451,NA,Malhi et al. 2011b,NA,cpr,E1_F0S_CT,NA,1,727006,727,NA,727006,AB,AB_3,NA
E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,NA,14,F0S,1,27,1999,1983,2009,CT,NA,1023.622436,NA,NA,CNL,CNL,CANOLA,CNL_TRT_PEA,NA,NA,1732.371655,yes,NA,688.9985229,NA,NA,NA,0,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,est_equation,NA,NA,NA,NA,NA,NA,1732.371655,NA,688.9985229,NA,Malhi et al. 2011b,NA,cpr,E1_F0S_CT,NA,1,727006,727,NA,727006,AB,AB_3,NA
E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,NA,14,F0S,1,27,2000,1983,2009,CT,NA,3330.63698,NA,NA,TRT,TRT,TRITCL,CNL_TRT_PEA,NA,NA,3594.761592,yes,NA,1731.349643,NA,NA,NA,0,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,est_equation,NA,NA,NA,NA,NA,NA,3594.761592,NA,1731.349643,NA,Malhi et al. 2011b,NA,cpr,E1_F0S_CT,NA,1,727006,727,NA,727006,AB,AB_3,NA
E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,NA,14,F0S,1,27,2001,1983,2009,CT,NA,3663.859476,NA,NA,PEA,PEA,PEA,CNL_TRT_PEA,NA,NA,3123.493976,yes,NA,678.7353452,NA,NA,NA,0,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,est_equation,NA,NA,NA,NA,NA,NA,3123.493976,NA,678.7353452,NA,Malhi et al. 2011b,NA,cpr,E1_F0S_CT,NA,1,727006,727,NA,727006,AB,AB_3,NA
E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,NA,14,F0S,1,27,2002,1983,2009,CT,NA,3593.70641,NA,NA,BAR,BAR,BARLEY,BAR,NA,NA,2687.301021,yes,NA,1381.821635,NA,NA,NA,0,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,est_equation,NA,NA,NA,NA,NA,NA,2687.301021,NA,1381.821635,NA,Malhi et al. 2011b,NA,cpr,E1_F0S_CT,NA,1,727006,727,NA,727006,AB,AB_3,NA
E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,NA,14,F0S,1,27,2003,1983,2009,CT,NA,1203.823185,NA,NA,CNL,CNL,CANOLA,CNL_TRT_PEA,NA,NA,3443.586957,yes,NA,1161.852535,NA,NA,NA,0,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,est_equation,NA,NA,NA,NA,NA,NA,3443.586957,NA,1161.852535,NA,Malhi et al. 2011b,NA,cpr,E1_F0S_CT,NA,1,727006,727,NA,727006,AB,AB_3,NA
E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,NA,14,F0S,1,27,2004,1983,2009,CT,NA,1479.635327,NA,NA,TRT,TRT,TRITCL,CNL_TRT_PEA,NA,NA,1632.176052,yes,NA,777.952845,NA,NA,NA,0,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,est_equation,NA,NA,NA,NA,NA,NA,1632.176052,NA,777.952845,NA,Malhi et al. 2011b,NA,cpr,E1_F0S_CT,NA,1,727006,727,NA,727006,AB,AB_3,NA
E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,NA,14,F0S,1,27,2005,1983,2009,CT,NA,2650.235621,NA,NA,PEA,PEA,PEA,CNL_TRT_PEA,NA,NA,2061.49164,yes,NA,471.1727261,NA,NA,NA,0,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,est_equation,NA,NA,NA,NA,NA,NA,2061.49164,NA,471.1727261,NA,Malhi et al. 2011b,NA,cpr,E1_F0S_CT,NA,1,727006,727,NA,727006,AB,AB_3,NA
E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,NA,14,F0S,1,27,2006,1983,2009,CT,NA,1051.406251,NA,NA,WHT,WHT,WHTDUR,WHT,NA,NA,1231.091181,yes,NA,547.7993837,NA,NA,NA,0,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,est_equation,NA,NA,NA,NA,NA,NA,1231.091181,NA,547.7993837,NA,Malhi et al. 2011b,NA,cpr,E1_F0S_CT,NA,1,727006,727,NA,727006,AB,AB_3,NA
E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,NA,14,F0S,1,27,2007,1983,2009,CT,NA,359.1705576,NA,NA,CNL,CNL,CANOLA,CNL_TRT_PEA,NA,NA,2036.023555,yes,NA,598.7985282,NA,NA,NA,0,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,est_equation,NA,NA,NA,NA,NA,NA,2036.023555,NA,598.7985282,NA,Malhi et al. 2011b,NA,cpr,E1_F0S_CT,NA,1,727006,727,NA,727006,AB,AB_3,NA
E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,NA,14,F0S,1,27,2008,1983,2009,CT,NA,3535.575117,NA,NA,TRT,TRT,TRITCL,CNL_TRT_PEA,NA,NA,3645.628281,yes,NA,1795.300849,NA,NA,NA,0,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,est_equation,NA,NA,NA,NA,NA,NA,3645.628281,NA,1795.300849,NA,Malhi et al. 2011b,NA,cpr,E1_F0S_CT,NA,1,727006,727,NA,727006,AB,AB_3,NA
E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,NA,14,F0S,1,27,2009,1983,2009,CT,NA,1624.805901,NA,NA,PEA,PEA,PEA,CNL_TRT_PEA,NA,NA,2179.366251,yes,NA,380.4172152,NA,118.8533333,NA,0,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,est_equation,NA,NA,NA,NA,NA,NA,2179.366251,NA,380.4172152,NA,Malhi et al. 2011b,NA,cpr,E1_F0S_CT,NA,1,727006,727,NA,727006,AB,AB_3,118.8533333
