SampleID,tillfac_FT,tillfac_RT,wfac_irri,k10,k20,k30,k40,k50,f1,f2,f3,f5,f6,f7,f8,tmax,topt,plig
402,3.511332785734581,2.15710808224231,1,19.173588007530384,4.459910846987087,8.135684221819304,0.20242730889937607,0.00513894069965696,0.3669539710718696,0.23198592937452184,0.32022268894659356,0.07548229905191949,0.1433713104868331,0.3847407443921752,0.44218776053595826,45.35813828803925,34.71086697583608,3.610362881017383
386,2.9943055314581377,2.0870271757091396,1,18.013969267722313,4.8466449226424,6.904892898695451,0.27137217551120557,0.0052364348111278375,0.31086371321684914,0.4620291418930334,0.7517519258687971,0.06249565836924524,0.15351788322298787,0.42162150924991354,0.42113869167226836,41.31049860170321,33.451403131167595,3.7117946491814218
728,3.249715312468633,1.808089061690029,1,17.6482795221474,4.450025179173183,7.504252676053234,0.068579774622167,0.007664290612528567,0.3633225307210838,0.008650228913669475,0.3558064082844882,0.07381002920237044,0.15013351832092506,0.4121743981196266,0.4356680050359224,44.80166374804149,32.90989083485492,3.5236221607117915
483,2.5131764734987634,2.5406393771329894,1,19.151179406179022,4.740653068946186,7.031351298069768,0.18978699882456473,0.007942880791106726,0.031052914664880374,0.07839543784435932,0.6583882741593989,0.08887697328744781,0.08875086053264328,0.3880348136399584,0.49007016393728786,46.97866246904154,33.34050287313994,3.8233675019843503
512,3.880399660465261,1.7834414941212162,1,17.762356657284567,4.733392225948996,7.7295028913421095,0.1964037747987127,0.005078386060304474,0.49276489012097013,0.04188719502324401,0.4643613807508722,0.05560813620912796,0.16327080542493844,0.4196756494459184,0.45922629109692065,42.301288373267276,31.463845042090416,3.859190452496987
749,3.1927647554968015,1.820369925825391,1,19.66563382332367,5.317804063652912,6.868111601290852,0.10179675439206046,0.005641309940073407,0.35895052819996376,0.1410264961821216,0.4440580894635292,0.08199032035465957,0.1537046490194043,0.46153596469393654,0.426500014130096,42.83767986950465,34.155660990799255,3.0393458967278715
625,3.5681044934392907,1.4117433758964761,1,17.549959968025703,4.6866848217440165,8.082252987322939,0.13101512621493824,0.009839355971211335,0.01894452107680729,0.22524758851502488,0.39110727376786536,0.09648165148886176,0.020825954046617263,0.4228426893346086,0.4874357553447853,48.17956217878056,32.70468727087304,3.421146244659089
378,2.3756036616692784,2.1107111381115393,1,18.921516102772927,4.871351289392202,7.553554526655302,0.2373741163588427,0.007207030360481003,0.28299002830137265,0.09308379175715475,0.22283785743764603,0.06825986087564076,0.08185378183483147,0.44682199264478595,0.47247140751127387,47.07010808863537,33.661377327787285,3.6602518800594845
264,3.836069561529998,1.9709335404387676,1,19.167470639277273,5.015841048165564,7.5774899504764015,0.0796762815465415,0.005423734383933479,0.5334484555737861,0.18470343740571873,0.12874304145085627,0.06633592407376389,0.06341478118557949,0.41460485642835404,0.475868601670987,43.2411495284813,31.385946497817635,2.4060299372193406
40,3.4957067749809476,1.2791887106834912,1,18.59603384978776,4.608102234080099,8.03527271996664,0.13732196858693055,0.009772426989653613,0.7209305800436484,0.0683502478136979,0.36816685046339415,0.04402351520797936,0.08336924215759152,0.43989989139482755,0.4719419594746758,46.31979067666875,32.173052610031775,2.1263883579201064
